username,date,time_in,time_out,time_break,is_home_office,created_at,daily_activity_attributes
apahrevi,2023-12-01,09:00:00,11:00:00,00:00,Yes,2023-11-29 10:54:47.808,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:54:47.808000', 'time_spent': '02:00'}"
apahrevi,2023-12-05,09:00:00,13:00:00,00:00,Yes,2023-11-29 10:55:12.000,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:55:12', 'time_spent': '04:00'}"
apahrevi,2023-12-07,09:00:00,13:00:00,00:00,Yes,2023-11-29 10:55:39.648,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:55:39.648000', 'time_spent': '04:00'}"
apahrevi,2023-12-11,13:00:00,18:00:00,00:00,No,2023-11-29 10:56:52.224,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:56:52.224000', 'time_spent': '05:00'}"
apahrevi,2023-12-13,09:00:00,13:00:00,00:00,Yes,2023-11-29 10:57:40.608,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:57:40.608000', 'time_spent': '04:00'}"
apahrevi,2023-12-19,09:00:00,13:00:00,00:00,No,2023-11-29 10:58:14.304,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:58:14.304000', 'time_spent': '04:00'}"
apahrevi,2023-12-21,09:00:00,13:00:00,00:00,Yes,2023-11-29 10:58:44.544,"{'project_name': 'Marketing B2C', 'created_at': '2023-11-29 10:58:44.544000', 'time_spent': '04:00'}"
mshchelkunov,2023-12-01,11:00:00,15:00:00,,Yes,2023-12-05 11:40:59.520,"{'project_name': 'DSE Quality', 'created_at': '2023-12-05 11:40:59.520000', 'time_spent': '04:00'}"
dsylari,2023-12-01,13:00:00,17:00:00,,No,2023-12-01 17:03:18.432,"{'project_name': 'DSE Tech', 'created_at': '2023-12-01 17:03:18.432000', 'time_spent': '04:00'}"
mkajo,2023-12-01,13:00:00,17:00:00,,No,2023-12-01 17:04:25.824,"{'project_name': 'DSE Quality', 'created_at': '2023-12-01 17:04:25.824000', 'time_spent': '04:00'}"
jalmendrasvilla,2023-12-01,15:00:00,20:30:00,,No,2023-12-01 20:30:37.440,"{'project_name': 'DSE Quality', 'created_at': '2023-12-01 20:30:37.440000', 'time_spent': '05:30'}"
gleka,2023-12-01,18:00:00,22:00:00,00:00,Yes,2023-12-02 14:23:13.344,"{'project_name': 'DSE Tech', 'created_at': '2023-12-02 14:23:13.344000', 'time_spent': '04:00'}"
aminaeva,2023-12-01,20:00:00,23:00:00,,Yes,2023-12-02 22:44:49.920,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-02 22:44:49.920000', 'time_spent': '03:00'}"
aminaeva,2023-12-02,12:00:00,16:00:00,,Yes,2023-12-03 18:20:12.192,"{'project_name': 'Sales B2B', 'created_at': '2023-12-03 18:20:12.192000', 'time_spent': '04:00'}"
aminaeva,2023-12-03,14:00:00,18:01:00,,Yes,2023-12-04 00:27:08.640,"{'project_name': 'DSE Quality', 'created_at': '2023-12-04 00:27:08.640000', 'time_spent': '04:01'}"
