text,source,expertise
,new_data_set,Zusatzbezeichnung spezielle Unfallchirurgie
,new_data_set,Zusatzbezeichnung Intensivmedizin
,de_v3,Zusammenbau
Sie überwachen und erstellen gegenüber dem BAG alle Zulassungsunterlagen wie TQV und APV,de_v3,Zulassungsunterlagen
Sie überwachen und erstellen gegenüber dem BAG alle Zulassungsunterlagen wie TQV und APV,new_data_set,Zulassungsdokumentation
"Erstellung neuer Zulassungsdokumentationen (nationale Verfahren, DCP/MRP)",new_data_set,Zulassungsdokumentation
Erstellung der Ausfuhrdokumente unter Beachtung der gültigen Zollvorschriften,new_data_set,Zollvorschriften
Darüber hinaus kennen Sie sich in der Zollabwicklung sehr gut aus,new_data_set,Zollabwicklung
"Zollkenntnisse sind wünschenswert, ebenso eine VDA-Auditorenausbildung",new_data_set,Zollabwicklung
,de_v3,Zerspanungstechnik
,de_v3,Zerspanung
,de_v3,zerspanende Fertigung
,de_v3,Zentrales Gebäudemanagement
,de_v3,Zahnradpumpen
,de_v3,Zahlungsverkehr
,de_v3,ZaDiRL
,de_v3,z/OS
,de_v2,XML
,de_v3,Xcode
Durchführung von Anwenderschulungen und Kundenworkshops,new_data_set,Workshops
Sie präsentieren das Unternehmen auf Messen und Tagungen und führen Kundenschulungen durch.,new_data_set,Workshops
"Durchführung von Tagungen, Messen und Sparringspartner zur Geschäftsleitung",new_data_set,Workshops
Unterstützung der Unfallversicherungsträger im Rahmen von Seminaren und Schulungsveranstaltungen mit eigenen Beiträgen,new_data_set,Workshops
"Durchführung von Trainings und Workshops mit dem Ziel, das MS D365 Wissen im Team zu steigern",new_data_set,Workshops
Wissenstransfer und Schulung bei den Kunden zur sicheren Anwendung der Technologie,new_data_set,Workshops
"Durchführung von Schulungen und Workshops, um die Kunden bei der optimalen Nutzung der Produkte/Dienstleistungen zu unterstützen.",new_data_set,Workshops
Inbetriebnahme Unterstützung und Kundenschulung,new_data_set,Workshops
"Regelmäßige Schulung der Kollegen bezüglich der (neuen) Produkte, Anwendungen etc.",new_data_set,Workshops
Sie führen Produktschulungen für die Vertriebs- und Marketingkollegen sowie für die Sales-Channels und Kunden durch,new_data_set,Workshops
Durchführung interner Schulungen und Trainingsmaßnahmen für Beschäftigte sowie Mitarbeitersupport in der IT-Technik und Programmanwendungen,new_data_set,Workshops
,de_v3,Workforce development
Manufacturing Execution Systemen (Wonderware),new_data_set,Wonderware
,de_v2,Wohnungswirtschaft
,de_v3,Wohnungsgenossenschaft
